ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,995932.392434,371.365815198,49908018.129,-995932.392434,-371.365815198,-47494140.3303
BC,453539.100854,-91385.9849139,-250526059.585,-453539.100854,91385.9849139,-252096857.441
DE,1054067.60757,64928.635068,189782102.523,-1054067.60757,-64928.635068,232254025.42
EF,468960.899146,113285.983887,290011612.905,-468960.899146,-113285.983887,333061298.472
IG,500000.0,1.81898940355e-12,2.98023223877e-08,-500000.0,-1.81898940355e-12,0.0
GH,225000.0,2.18278728426e-11,7.45058059692e-09,-225000.0,-2.18278728426e-11,1.49011611938e-08
JK,500000.0,0.0,0.0,-500000.0,0.0,0.0
KL,225000.0,1.09139364213e-11,2.23517417908e-08,-225000.0,-1.09139364213e-11,1.49011611938e-08
CF,91385.9833984,228539.100854,252096857.441,-91385.9833984,243960.899146,-333061298.472
BE,-91757.3505859,267393.29158,298020199.915,91757.3505859,310106.70842,-522265638.325
FH,-21900.0,225000.0,0.0,21900.0,225000.0,0.0
EG,-43400.0009766,275000.0,0.0,43400.0009766,275000.0,0.0
KB,0.0,275000.0,0.0,0.0,275000.0,0.0
LC,0.0,225000.0,0.0,0.0,225000.0,0.0
