ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,542068.693853562,944801.389259188,3345741173.25421,-542068.693853562,-944801.389259188,2795467856.93051
CB0B1,16222731.3061463,995542.969518278,3458844075.10067,-16222731.3061463,-995542.969518278,3012185226.76814
CC0C1,3631365.95653741,930121.493960797,3322236534.11157,-3631365.95653741,-930121.493960797,2723553176.63361
CD0D1,11395838.4010055,278203.458178525,-2.98023223876953e-08,-11395838.4010055,-278203.458178525,1808322478.16041
CE0E1,17420795.6424583,218004.089743488,-5.96046447753906e-08,-17420795.6424583,-218004.089743488,1417026583.33267
CF0F1,3284831.88123098,964089.56978294,3399037422.66408,-3284831.88123098,-964089.56978294,2867544780.92503
CG0G1,13479968.1187691,1009122.44177342,3494127400.59561,-13479968.1187691,-1009122.44177342,3065168470.93164
CA1A2,1135902.326861,531779.543826513,1417337186.8716,-1135902.326861,-531779.543826513,1507450304.17422
CB1B2,14860097.673139,646815.002043921,1744462876.00592,-14860097.673139,-646815.002043921,1813019635.23565
CC1C2,3839216.13024331,501695.281295383,1289995167.60501,-3839216.13024331,-501695.281295383,1469328879.5196
CD1D2,10667281.9635186,950614.419788008,2673158460.19255,-10667281.9635186,-950614.419788008,2555220848.6415
CE1E2,16453501.9062394,664793.19512453,1839383233.32396,-16453501.9062394,-664793.19512453,1816979339.86095
CF1F2,3648329.53835799,541789.756780103,1436079478.93205,-3648329.53835799,-541789.756780103,1543764183.35851
CG1G2,12347670.4616422,664664.11207098,1786132669.04433,-12347670.4616422,-664664.11207098,1869519947.34606
CA2A3,1477992.23206648,486467.151468836,1351348331.11179,-1477992.23206648,-486467.151468836,1324221001.9668
CB2B3,13749207.7679334,596718.76104314,1654325734.1368,-13749207.7679334,-596718.76104314,1627627451.60047
CC2C3,3922397.77339495,524103.420816767,1452423967.94738,-3922397.77339495,-524103.420816767,1430144846.54483
CD2D3,10139634.3573536,835536.634391663,2303117896.71035,-10139634.3573536,-835536.634391663,2292333592.44381
CE2E3,15409967.8692527,606709.36488392,1670085868.70316,-15409967.8692527,-606709.36488392,1666815638.1584
CF2F3,3774645.09973103,533894.300289926,1478188434.26145,-3774645.09973103,-533894.300289926,1458230217.33315
CG2G3,11452554.9002691,642049.786729311,1773040829.45097,-11452554.9002691,-642049.786729311,1758232997.56024
CA3A4,1762820.63895119,443959.246449995,1234598681.38686,-1762820.63895119,-443959.246449995,1207177174.08812
CB3B4,12695579.3610487,554438.726922627,1538451137.33528,-12695579.3610487,-554438.726922627,1510961860.73916
CC3C4,3976182.46737759,493760.743273261,1362737278.70997,-3976182.46737759,-493760.743273261,1352946809.29297
CD3D4,9603252.21849841,804267.748489975,2222089972.3307,-9603252.21849841,-804267.748489975,2201382644.36416
CE3E4,14404565.3141253,586860.220266883,1617751162.91349,-14404565.3141253,-586860.220266883,1609980048.55437
CF3F4,3866066.26552425,502224.345068885,1388256534.58443,-3866066.26552425,-502224.345068885,1373977363.29444
CG3G4,10592333.7344759,613025.626939005,1693402491.35099,-10592333.7344759,-613025.626939005,1678238456.81354
CA4A5,2002598.77416098,401468.185748407,1115026874.63667,-2002598.77416098,-401468.185748407,1093048146.97956
CB4B5,11687001.2258389,511899.579231059,1418704510.23885,-11687001.2258389,-511899.579231059,1396743175.53197
CC4C5,4003902.37176789,468547.162946007,1292408116.18474,-4003902.37176789,-468547.162946007,1284601280.0183
CD4D5,9073017.28085179,768040.770059024,2120717720.08087,-9073017.28085179,-768040.770059024,2103506515.24376
CE4E5,13419080.3473815,564434.329758462,1554613372.86381,-13419080.3473815,-564434.329758462,1549775440.80773
CF4F5,3926048.6472234,473007.308710557,1306127767.09504,-3926048.6472234,-473007.308710557,1295412430.81303
CG4G5,9763551.35277674,583409.552906195,1609671420.63822,-9763551.35277674,-583409.552906195,1599081120.34584
CA5A6,2198439.34026171,360024.078808326,998509767.307049,-2198439.34026171,-360024.078808326,981622666.138741
CB5B6,10722360.6597382,470465.308948152,1302224854.23913,-10722360.6597382,-470465.308948152,1285334344.97571
CC5C6,4005820.04466921,441748.239416342,1216922682.32837,-4005820.04466921,-441748.239416342,1212692634.46151
CD5D6,8547029.69871014,730498.69931426,2016126449.06694,-8547029.69871014,-730498.69931426,2001616397.16149
CE5E6,12455150.2566218,540610.629394107,1487545269.14422,-12455150.2566218,-540610.629394107,1485813192.52337
CF5F6,3955104.00763373,443364.168051825,1222513492.14436,-3955104.00763373,-443364.168051825,1215989432.14068
CG5G6,8965695.99236635,553819.815750738,1526274241.0051,-8965695.99236635,-553819.815750738,1519734745.62396
CA6A7,2351407.59692735,319542.974004399,884850508.735709,-2351407.59692735,-319542.974004399,872635848.28848
CB6B7,9800592.40307254,429982.533882505,1188559175.13899,-9800592.40307254,-429982.533882505,1176344761.21479
CC6C7,3981150.17647511,414233.074273515,1139693953.12257,-3981150.17647511,-414233.074273515,1138587955.38176
CD6D7,8024857.01825101,691492.022220512,1907551412.92323,-8024857.01825101,-691492.022220512,1895654709.28959
CE6E7,11513992.8052751,515655.831221726,1417508241.33426,-11513992.8052751,-515655.831221726,1418598830.38523
CF6F7,3953133.17098757,413686.739208455,1139025790.81616,-3953133.17098757,-413686.739208455,1136251274.83034
CG6G7,8198866.82901253,524134.717955215,1442756246.63467,-8198866.82901253,-524134.717955215,1439984702.11901
CA7A8,2462544.15931654,280084.167989166,774221301.617038,-2462544.15931654,-280084.167989166,766241622.323375
CB7B8,8920655.84068336,390524.282940454,1077931993.96621,-8920655.84068336,-390524.282940454,1069951562.20629
CC7C8,3929321.921771,386133.429242391,1061002244.57946,-3929321.921771,-386133.429242391,1062731616.25369
CD7D8,7506018.13719168,651391.551246904,1796068618.09146,-7506018.13719168,-651391.551246904,1786584913.76651
CE7E8,10596659.9410388,489803.814107926,1345133737.59413,-10596659.9410388,-489803.814107926,1348787239.99946
CF7F8,3920135.38709754,384066.421962961,1055876934.68623,-3920135.38709754,-384066.421962961,1056488386.11005
CG7G8,7463064.61290254,494514.981929063,1359610357.51927,-7463064.61290254,-494514.981929063,1360222043.09059
CA8A9,2532938.84621493,241686.172109226,666719551.95213,-2532938.84621493,-241686.172109226,662554394.648611
CB8B9,8081461.15378496,352126.701765147,970431475.951229,-8081461.15378496,-352126.701765147,966265383.757073
CC8C9,3849929.31777174,357637.219080525,981366793.311954,-3849929.31777174,-357637.219080525,985637911.630938
CD8D9,6990102.18014887,610491.798147987,1682481755.94822,-6990102.18014887,-610491.798147987,1675223133.86571
CE8E9,9703968.50208066,463278.27328039,1271036030.3091,-9703968.50208066,-463278.27328039,1276994472.73305
CF8F9,3856228.65336866,354612.751429614,973368188.161456,-3856228.65336866,-354612.751429614,977001944.701417
CG8G9,6758171.34663147,465060.985506811,1277100678.48428,-6758171.34663147,-465060.985506811,1280734741.80318
CA9A10,2563715.19975942,204375.551750368,562409126.432726,-2563715.19975942,-204375.551750368,561656408.194291
CB9B10,7281884.80024038,314816.677451196,866122807.378826,-7281884.80024038,-314816.677451196,865368918.602752
CC9C10,3742724.25056823,328907.830555229,901229124.707644,-3742724.25056823,-328907.830555229,907763943.346113
CD9D10,6476750.11771518,569063.885562343,1567535448.6295,-6476750.11771518,-569063.885562343,1562315921.96338
CE9E10,8836525.63171794,436278.480921419,1195757940.02484,-8836525.63171794,-436278.480921419,1203773705.04297
CF9F10,3761631.30764976,325411.925253774,891729377.037388,-3761631.30764976,-325411.925253774,898036211.858381
CG9G10,6083968.6923503,435860.092868355,1195461806.40973,-6083968.6923503,-435860.092868355,1201768704.36621
CA10A11,2556018.65093064,168167.417466368,461322618.681366,-2556018.65093064,-168167.417466368,463598177.383668
CB10B11,6520781.34906925,278609.237375546,765038291.819266,-6520781.34906925,-278609.237375546,767312513.746241
CC10C11,3607600.98460741,300093.092109875,820989100.004099,-3607600.98460741,-300093.092109875,829522906.600219
CD10D11,5965649.19386612,527350.840122154,1451896102.8213,-5965649.19386612,-527350.840122154,1448533517.85054
CE10E11,7994749.8215282,408983.365251951,1119786669.11215,-7994749.8215282,-408983.365251951,1129621839.7736
CF10F11,3636643.6298765,296533.704379405,811145961.348925,-3636643.6298765,-296533.704379405,819789412.737797
CG10G11,5440156.37012352,406981.88558943,1114878505.80738,-5440156.37012352,-406981.88558943,1123521864.93449
CA11A12,2511004.98407337,133066.383241848,363463973.606706,-2511004.98407337,-133066.383241848,368401134.22346
