MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,994654.015808766,-2177.82145130843,41899586.3039054,-994654.015808766,2177.82145130843,-56055425.7374102
BC,452381.814807767,-88371.3090811139,-241072569.155323,-452381.814807767,88371.3090811139,-244969630.790804
DE,1055345.98419125,63235.5670169017,184367579.687905,-1055345.98419125,-63235.5670169017,226663605.921955
EF,470118.185192227,115284.882503587,295981278.460533,-470118.185192227,-115284.882503587,338085575.309196
IG,500000,2308.98136053844,2.18351488001645e-08,-500000,-2308.98136053844,15008378.8434999
GH,225000,-2728.79615336359,-15008378.8434998,-225000,2728.79615336359,1.97615008801222e-08
JK,500000,1933.27307387074,4.65661287307739e-09,-500000,-1933.27307387074,12566274.9801598
KL,225000,-2284.77726911996,-12566274.9801598,-225000,2284.77726911996,-4.93673724122345e-09
CF,90656.0863502295,227381.814807772,244969630.790804,-90656.0863502295,245118.185192228,-338085575.309195
BE,-90411.5379727955,267272.201000976,297127994.892733,90411.5379727955,310227.798999024,-522644884.382488
FH,-24628.796153362,225000,0,24628.796153362,225000,0
EG,-38362.2224861014,275000,0,38362.2224861014,275000,0
KB,-4218.05034299151,275000,0,4218.05034299151,275000,0
LC,2284.7772691162,225000,0,-2284.7772691162,225000,0
