NODEID,DX,DY,RZ
A,0,0,0
B,22.1803933186396,-2.62815085477926,-0.00717013038590711
C,34.6845822786842,-3.63957361146329,-0.00741150244666327
D,0,0,0
E,22.5319937440893,-2.78851581188745,0.00309599291127617
F,34.3320308317667,-3.83959305520341,0.00570380408996585
G,22.6740760495934,-1.32113821138211,-0.00275592853276504
H,34.4232485952976,-1.82418699186992,-0.00182635551880953
I,0,0,-0.00385451482198519
J,0,0,-0.00371657431758234
K,22.1647709099618,-1.32113821138211,-0.00279674563097154
L,34.693044416718,-1.82418699186992,-0.00201842904999318
