MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,995932.393507431,371.36505254852,49908015.2086769,-995932.393507431,-371.36505254852,-47494142.3671115
BC,453539.101240391,-91385.9855678924,-250526061.154989,-453539.101240391,91385.9855678924,-252096859.468419
DE,1054067.60649257,64928.634305398,189782099.602331,-1054067.60649257,-64928.634305398,232254023.382757
EF,468960.898759609,113285.983232679,290011611.335421,-468960.898759609,-113285.983232679,333061296.444313
IG,500000,1.15640830244956e-12,1.52358552441001e-08,-500000,-1.15640830244956e-12,0
GH,225000,2.76294542800315e-11,5.34928403794765e-08,-225000,-2.76294542800315e-11,5.34928403794765e-08
JK,500000,-1.09867670516905e-12,5.82076609134674e-10,-500000,1.09867670516905e-12,0
KL,225000,1.67439395681868e-11,2.35577317653224e-08,-225000,-1.67439395681868e-11,2.35559127759188e-08
CF,91385.9843249321,228539.101240391,252096859.468419,-91385.9843249321,243960.898759609,-333061296.444313
BE,-91757.3505010605,267393.29226704,298020203.522101,91757.3505010605,310106.70773296,-522265634.718177
FH,-21900.0014567375,225000,0,21900.0014567375,225000,0
EG,-43400.0014591217,275000,0,43400.0014591217,275000,0
KB,0.00142097473144531,275000,0,-0.00142097473144531,275000,0
LC,0,225000,0,0,225000,0
