NODEID,DX,DY,RZ
A,0,0,0
B,23.3628183188576,-3.23678027889915e-06,-0.00712966243516469
C,34.3068299519135,-4.48401280731022e-06,-0.0072269528712442
D,0,0,0
E,23.3628188005837,-3.42571972110085e-06,0.00310886829473837
F,34.3068294721371,-4.71536219268977e-06,0.00577523392648282
G,23.3628190175837,-1.625e-06,-0.00198982010255517
H,34.3068295816371,-2.24375e-06,-0.00198982010255517
I,0,0,-0.00359427984885902
J,0,0,-0.0035942797413627
K,23.3628183188576,-1.625e-06,-0.00198982029691926
L,34.3068299519135,-2.24375e-06,-0.00198982029691926
