MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,8258682.72621106,137909.660198606,536863617.87947,-8258682.72621106,-137909.660198606,359549173.411469
CB0B1,14755717.2737891,204628.491849201,682286199.790412,-14755717.2737891,-204628.491849201,647798997.229392
CC0C1,13064123.6954622,149496.886578465,563884844.573441,-13064123.6954622,-149496.886578465,407844918.186583
CD0D1,15483841.3747148,50541.2951972929,4.19422576669604e-08,-15483841.3747148,-50541.2951972929,328518418.782404
CE0E1,15996034.9298231,49414.0007593981,2.47091520577669e-08,-15996034.9298231,-49414.0007593981,321191004.936088
CF0F1,12029828.6351267,152078.780752569,571144259.188459,-12029828.6351267,-152078.780752569,417367815.703238
CG0G1,10984571.3648734,217930.884668101,713878029.278639,-10984571.3648734,-217930.884668101,702672721.064019
CA1A2,8047436.62628701,20728.6552218348,48938019.1737183,-8047436.62628701,-20728.6552218348,65069584.5463734
CB1B2,13900563.3737132,185606.953253746,518229760.982721,-13900563.3737132,-185606.953253746,502608481.912883
CC1C2,12548479.8674176,52012.7356430165,128046554.527557,-12548479.8674176,-52012.7356430165,158023491.509034
CD1D2,14675438.0130637,190397.392865231,535468506.909608,-14675438.0130637,-190397.392865231,511717153.849165
CE1E2,15256082.1195189,186932.51976588,522020419.254104,-15256082.1195189,-186932.51976588,506108439.458234
CF1F2,11502253.6307705,56055.6885327326,135938378.479321,-11502253.6307705,-56055.6885327326,172367908.450708
CG1G2,10445746.3692297,222266.054721181,609083539.012559,-10445746.3692297,-222266.054721181,613379761.953935
CA2A3,7786422.45738762,9516.83563315313,34480495.4309021,-7786422.45738762,-9516.83563315313,17862100.5514402
CB2B3,13095177.5426125,161240.591024537,449792664.666376,-13095177.5426125,-161240.591024537,437030585.968576
CC2C3,12006198.0014143,56683.4803239387,160010457.946449,-12006198.0014143,-56683.4803239387,151748683.835214
CD2D3,13925509.5265673,172212.464599322,475284720.599344,-13925509.5265673,-172212.464599322,471883834.696926
CE2E3,14484292.4720186,176170.437214702,483933551.606981,-14484292.4720186,-176170.437214702,485003853.073879
CF2F3,10948656.4573012,71411.2731871745,196096148.172871,-10948656.4573012,-71411.2731871745,196665854.356589
CG2G3,9932943.5426989,222764.918020716,609985859.99564,-9932943.5426989,-222764.918020716,615221189.118299
CA3A4,7505862.57080828,-7933.71158050011,-15139469.1646702,-7505862.57080828,7933.71158050011,-28495944.5280804
CB3B4,12309337.4291919,145467.608737978,406967973.561579,-12309337.4291919,-145467.608737978,393103874.497299
CC3C4,11456217.4413551,48409.1334984269,135451790.524026,-11456217.4413551,-48409.1334984269,130798443.717322
CD3D4,13180031.5368489,166340.172726354,459769475.861569,-13180031.5368489,-166340.172726354,455101474.133378
CE3E4,13715751.0217962,175132.339060007,481751263.641156,-13715751.0217962,-175132.339060007,481476601.188881
CF3F4,10398641.356578,72562.3196457246,197606263.072462,-10398641.356578,-72562.3196457246,201486494.979023
CG3G4,9416558.64342216,226022.137915277,619948135.858541,-9416558.64342216,-226022.137915277,623173622.67548
CA4A5,7208163.16104055,-23803.2067442591,-59525763.77802,-7208163.16104055,23803.2067442591,-71391873.315405
CB4B5,11540636.8389595,129372.838444486,361674031.247894,-11540636.8389595,-129372.838444486,349876580.196778
CC4C5,10898231.8390059,41585.0825061119,116353725.34075,-10898231.8390059,-41585.0825061119,112364228.442865
CD4D5,12442005.14737,159535.771141667,440705720.18492,-12442005.14737,-159535.771141667,436741021.094248
CE4E5,12947763.0136243,172967.869137782,475588093.661597,-12947763.0136243,-172967.869137782,475735186.596203
CF4F5,9850809.42356364,74585.4478693053,203264609.80987,-9850809.42356364,-74585.4478693053,206955353.471309
CG4G5,8897990.57643647,227756.197648112,624439975.885271,-8897990.57643647,-227756.197648112,628219111.179344
CA5A6,6894243.34944052,-38834.8414212764,-101683901.77794,-6894243.34944052,38834.8414212764,-111907726.03908
CB5B6,10788156.6505596,114372.419158541,319641173.096126,-10788156.6505596,-114372.419158541,309407132.275851
CC5C6,10332705.115807,34760.4269017309,97121413.8102488,-10332705.115807,-34760.4269017309,94060934.149271
CD5D6,11710195.0091918,152534.827508325,421176681.220112,-11710195.0091918,-152534.827508325,417764870.075677
CE5E6,12181099.8750014,170359.118981663,468225623.075884,-12181099.8750014,-170359.118981663,468749531.323262
CF5F6,9304601.71657373,75799.0686079061,206455596.334956,-9304601.71657373,-75799.0686079061,210439281.008527
CG5G6,8377798.2834264,229008.980265982,627789015.620248,-8377798.2834264,-229008.980265982,631760375.842653
CA6A7,6565050.13575603,-52993.8701949252,-141368743.035942,-6565050.13575603,52993.8701949252,-150097543.036146
CB6B7,10050949.8642441,100209.628031387,279940593.111754,-10050949.8642441,-100209.628031387,271212361.060874
CC6C7,9759858.46983553,28056.7790481323,78271451.088846,-9759858.46983553,-28056.7790481323,76040833.6758817
CD6D7,10983840.9286391,145292.123311736,400989610.452901,-10983840.9286391,-145292.123311736,398117067.76165
CE6E7,11416300.6015256,167323.837434854,459689877.954293,-11416300.6015256,-167323.837434854,460591227.937404
CF6F7,8759382.89736782,76453.2673078713,208144833.095863,-8759382.89736782,-76453.2673078713,212348137.09743
CG6G7,7856617.10263224,229658.23506381,629457908.390988,-7856617.10263224,-229658.23506381,633662384.459967
CA7A8,6221448.76009329,-66359.0460599915,-178820924.044706,-6221448.76009329,66359.0460599915,-186153829.285247
CB7B8,9328151.23990679,86845.3813689201,242491661.56129,-9328151.23990679,-86845.3813689201,235157935.967771
CC7C8,9179895.07894449,21442.0783567083,59696253.7023814,-9179895.07894449,-21442.0783567083,58235177.2595144
CD7D8,10262248.0645859,137837.43705184,380234680.53821,-10262248.0645859,-137837.43705184,377871223.246911
CE7E8,10653856.8564699,163912.506790521,450123478.030632,-10653856.8564699,-163912.506790521,451395309.317232
CF7F8,8214562.10916993,76557.8902338481,208327398.840981,-8214562.10916993,-76557.8902338481,212740997.445184
CG7G8,7335037.89083008,229763.752261021,629643803.524132,-7335037.89083008,-229763.752261021,634056833.911486
