NODEID,DX,DY,RZ
A0,0,0,0
B0,0,0,0
C0,0,0,0
D0,0,0,-0.00802669014289126
E0,0,0,-0.00798340289017173
F0,0,0,0
G0,0,0,0
A1,35.3160383124773,-9.72489813774853,-0.00404685354298457
B1,35.4443776326639,-17.3753917173241,-0.000787102586540148
C1,35.6002125153004,-15.3834789892218,-0.00356130449970006
D1,35.9282808801549,-18.2327842274722,-0.000528903197365885
E1,36.0092536660908,-18.8359106963497,-0.000652849757852301
F1,35.8472608707432,-14.1655590812181,-0.00350964495313881
G1,35.8553031473434,-12.9347307738546,-0.000255739127089294
A2,58.735244067013,-17.7431773849548,-0.00373532401507163
B2,58.6744179372746,-31.2255907309876,-0.00108877756857704
C2,58.6595383998502,-27.8864933498734,-0.00298239595546506
D2,58.6364066633429,-32.8550503636769,-0.000987584524024739
E2,58.645403775362,-34.0367171560153,-0.000960138693516943
F2,58.6734151675069,-25.626137879993,-0.00280612523810148
G2,58.6743406206244,-23.3426302359494,-0.000172771338544465
A3,81.0886804475293,-25.5013881667722,-0.00405625509596012
B3,81.0394279291093,-44.2733219781559,-0.0013352362512944
C3,81.0203882285796,-39.8491906338913,-0.00314194566618063
D3,81.015967515374,-46.7301051455827,-0.00105326174475262
E3,81.0219218761489,-48.4685303074831,-0.000939469248053667
F3,81.0297103326033,-36.5351252921591,-0.00279512318750301
G3,81.0357528783442,-33.2395848527689,-7.1667721358276e-05
A4,103.334956646555,-32.9800555833384,-0.00431419264686867
B4,103.282771081046,-56.5380603586913,-0.00160297692844869
C4,103.261506532384,-51.2639000410386,-0.00323181015858538
D4,103.252298610917,-59.8623829449793,-0.00114340925003722
E4,103.255112600376,-62.1345865792003,-0.000944773473782278
F4,103.261750741642,-46.8960904119379,-0.00272018893368949
G4,103.264967636906,-42.6220255300917,-9.37777229519476e-06
A5,125.375627930949,-40.1621022111868,-0.00454334855436733
B5,125.321888030615,-68.0368832960604,-0.00183080691714651
C5,125.297209680726,-62.1226455328017,-0.00330885451581278
D5,125.284589026251,-72.2593083635545,-0.00121997471702703
E5,125.284337530139,-75.0354374079926,-0.000941932844778293
F5,125.288695133243,-56.7112084970104,-0.0026489140385423
G5,125.291019199937,-51.4877770102368,6.36041241844474e-05
A6,147.125904360958,-47.0313664180568,-0.00474078898075872
B6,147.070545668754,-78.7859524225237,-0.00202844464366165
C6,147.042845703914,-72.4179133112326,-0.00336795788005217
D6,147.026989639876,-83.9270751299593,-0.00128586292381914
E6,147.023929873005,-87.172402863157,-0.000931815234663901
F6,147.026232794379,-65.982097888524,-0.00257198192581532
G6,147.027437242326,-59.8352209520566,0.000140298229603093
A7,168.504131539739,-53.5726301402775,-0.00490935780098738
B7,168.447300152209,-88.8004858017524,-0.00219700249576783
C7,168.416786764449,-82.142409975018,-0.00341103511239523
D7,168.397960127026,-94.8711195334946,-0.00134133688730889
E7,168.392304313385,-98.547340056706,-0.000914408546085555
F7,168.392675585687,-74.7097438913362,-0.00249080856904348
G7,168.392871333138,-67.6633720506938,0.000221494221103741
A8,189.43407256218,-59.771537419356,-0.00505096938393323
B8,189.375872354392,-98.0948393922393,-0.00233862992120446
C8,189.342752865878,-91.289044564546,-0.00343925112516127
D8,189.321185747561,-105.096185539875,-0.00138697949651584
E8,189.313127058905,-109.162595982537,-0.000889847197503044
F8,189.311683175589,-82.8945430943135,-0.00240557404543704
G8,189.310925223092,-74.9718337172817,0.00030671777142132
A9,209.844634166191,-65.6145322292642,-0.00516756222793011
B9,209.785164795088,-106.682569220012,-0.00245523382791914
C9,209.749627751449,-99.8508983565084,-0.00345377502877319
D9,209.725528789274,-114.606413374866,-0.00142335055576351
E9,209.715238941674,-119.020949138192,-0.000858341879562514
F9,209.712082376274,-90.5363390108816,-0.00231669248583907
G9,209.710425340914,-81.7607624383948,0.000395593735490479
A10,229.669870272664,-71.0888001234078,-0.00526097148641239
B10,229.609222580186,-114.576489731666,-0.00254865369561084
C10,229.571441180999,-107.821201307995,-0.00345571160753236
D10,229.544998616579,-123.405413952672,-0.00145102205797717
E10,229.532630511961,-128.125558652378,-0.000820166960786971
F10,229.527851572991,-97.6344543645714,-0.00222461193500748
G10,229.525342759535,-88.0308354905022,0.000487668843556745
A11,248.848944007635,-76.1822148254874,-0.00533295361358136
B11,248.787201309409,-121.788727203499,-0.00262064547360301
C11,248.747334225318,-115.193312572029,-0.00344611616617793
D11,248.718717628389,-131.49633405598,-0.00147057311611861
E11,248.704406718092,-136.479918589385,-0.000775653531274434
F11,248.698084106154,-104.18771955348,-0.00212983743042571
G11,248.694764847702,-93.7832224755071,0.000582438703832989
A12,267.326099166392,-80.8832892420118,-0.0053851897467912
B12,267.263337672686,-128.330768729004,-0.00267289044047432
C12,267.221530064806,-121.9607047355,-0.00342599984893898
D12,267.190891821655,-138.881913111839,-0.00148258949271785
E12,267.17475745704,-144.087816935272,-0.000725182333324731
F12,267.166958896503,-110.194497599825,-0.0020329249792811
G12,267.162864748156,-99.0195603711903,0.000679347176318224
A13,285.050634710107,-85.1811306124001,-0.00541929146078935
B13,284.986924004524,-134.213507068761,-0.00270700017777026
C13,284.943308421348,-128.11695130832,-0.00339633504070919
D13,284.910785061914,-145.564532620849,-0.00148766265634332
E13,284.892931664585,-150.953298679529,-0.000669177711041635
F13,284.883714439866,-115.652705766358,-0.00193447984482756
G13,284.878875470813,-103.741931914802,0.000777789017012111
A14,301.97688296548,-89.0653995153613,-0.0054368054959442
B14,301.912286483783,-139.44728164406,-0.00272452175931819
C14,301.866983668166,-133.655717076919,-0.00335805992398111
D14,301.832697037786,-151.546259127791,-0.00148638892119072
E14,301.813215121225,-157.080632490947,-0.000608102308283337
F14,301.802626531542,-120.559834011164,-0.0018351544439473
G14,301.797067620801,-107.952847148258,0.000877111486406834
A15,318.064191705998,-92.5262724793826,-0.00543921957971763
B15,317.998766737314,-144.041915926416,-0.00272694083286908
C15,317.951886447143,-138.570750989056,-0.0033120825067537
D15,317.915944788592,-156.828881510473,-0.00147936859868264
E15,317.894911895832,-162.474280543954,-0.000542452333667732
F15,317.882989733006,-124.912960427744,-0.00173564834184271
G15,317.876730373713,-111.655227978055,0.000976617204381981
A16,333.27690714261,-95.5544079610229,-0.00542795695904502
B16,333.210708079206,-148.006751459268,-0.00271569664647611
C16,333.162349117412,-142.855881291829,-0.00325928322568216
D16,333.124847697863,-161.413943250765,-0.00146720521309841
E16,333.102328864446,-167.138871109584,-0.000472754198301383
F16,333.089101105297,-128.708763804076,-0.00163669577161227
G16,333.082158606214,-114.852395616216,0.00107555532185795
A17,347.584383700163,-98.1409155404894,-0.00540445362994799
B17,347.517439840079,-151.35067866241,-0.0026921049073122
C17,347.467694156563,-146.505012649301,-0.00320052537882451
D17,347.42871611191,-165.302770341347,-0.00145050431776423
E17,347.40476474801,-171.079173531096,-0.000399554079983797
F17,347.390253291182,-131.943533350751,-0.00153914877902281
G17,347.382619404253,-117.548060852149,0.00117319894885312
A18,360.960813489401,-100.277327819164,-0.00536959190684699
B18,360.893296687468,-154.08216493446,-0.00265795348205829
C18,360.842222178864,-149.512125390546,-0.00313657927393673
D18,360.801842412051,-168.496494626988,-0.00142987632852199
E18,360.776502484621,-174.300075634644,-0.000323486777360891
F18,360.760696369708,-134.613176015124,-0.00144336177710371
G18,360.752512674573,-119.746316738501,0.00126825108125767
A19,373.385140214494,-101.955575840491,-0.0053274971701904
B19,373.316394404695,-156.209279231974,-0.00261070981522202
C19,373.264728634416,-151.871273091037,-0.0030686498820177
D19,373.223524544759,-170.99608032266,-0.00140591110225699
E19,373.197353158617,-176.806559629786,-0.000244827026016121
F19,373.180913034311,-136.713220559093,-0.00135416843774641
G19,373.171439786691,-121.451634513373,0.00136281932399803
A20,384.844390270162,-103.167923556975,-0.00526446220555346
B20,384.780074737892,-157.739757602446,-0.00258574435748223
C20,384.723052646105,-153.57660270522,-0.00299561127852951
D20,384.678613534748,-172.802306856382,-0.0013796313976069
E20,384.648834819452,-178.603699134055,-0.000165995742219548
F20,384.626552707987,-138.238862812468,-0.00123762066860712
G20,384.621434850461,-122.668818346955,0.00143979344880739
A21,395.750268047605,-103.907795969529,-0.00545662982939902
B21,395.551041387667,-158.680175044965,-0.00244359573658277
C21,395.369643215536,-154.622284823943,-0.00302562705703309
D21,395.151714393596,-173.915964706887,-0.00134260724689141
E21,394.960071913019,-179.69653307787,1.95813526136682e-05
F21,394.837003905512,-139.184139663973,-0.00125385076600015
G21,394.71460211835,-123.403831350522,0.00175853713970403
A22,408.580020690654,-104.248785199236,-0.00586003323474092
B22,408.280587411264,-159.125417699316,-0.00326645286310021
C22,407.931548956364,-155.112322407427,-0.00285993750673757
D22,407.511763919068,-174.439613528849,-0.00128269315910254
E22,407.119894364372,-180.204585802859,0.000116711303691481
F22,406.83925416057,-139.633791874039,-0.000407690267398858
G22,406.601761404769,-123.740411024513,0.0021870971356273
