ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,994654.015809,-2177.82145131,41899586.3039,-994654.015809,2177.82145131,-56055425.7374
BC,452381.814808,-88371.3090811,-241072569.155,-452381.814808,88371.3090811,-244969630.791
DE,1055345.98419,63235.5670169,184367579.688,-1055345.98419,-63235.5670169,226663605.922
EF,470118.185192,115284.882504,295981278.461,-470118.185192,-115284.882504,338085575.309
IG,500000.0,2308.98136054,3.72529029846e-08,-500000.0,-2308.98136054,15008378.8435
GH,225000.0,-2728.79615336,-15008378.8435,-225000.0,2728.79615336,1.49011611938e-08
JK,500000.0,1933.27307387,0.0,-500000.0,-1933.27307387,12566274.9802
KL,225000.0,-2284.77726912,-12566274.9802,-225000.0,2284.77726912,0.0
CF,90656.0863502,227381.814808,244969630.791,-90656.0863502,245118.185192,-338085575.309
BE,-90411.5379728,267272.201001,297127994.893,90411.5379728,310227.798999,-522644884.382
FH,-24628.7961534,225000.0,0.0,24628.7961534,225000.0,0.0
EG,-38362.2224861,275000.0,0.0,38362.2224861,275000.0,0.0
KB,-4218.05034299,275000.0,0.0,4218.05034299,275000.0,0.0
LC,2284.77726911,225000.0,0.0,-2284.77726911,225000.0,0.0
