ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,995932.394338,371.307390062,49907852.1987,-995932.394338,-371.307390062,-47494354.1633
BC,453539.101344,-91385.915721,-250525818.633,-453539.101344,91385.915721,-252096717.832
DE,1054067.60566,64928.6925994,189782288.067,-1054067.60566,-64928.6925994,232254213.829
EF,468960.898656,113285.915681,290011382.529,-468960.898656,-113285.915681,333061153.717
IG,500000.0,1.81898940355e-12,1.49011611938e-08,-500000.0,-1.81898940355e-12,0.0
GH,225000.0,1.81898940355e-11,2.98023223877e-08,-225000.0,-1.81898940355e-11,0.0
JK,500000.0,-1.81898940355e-12,0.0,-500000.0,1.81898940355e-12,0.0
KL,225000.0,1.45519152284e-11,-3.72529029846e-09,-225000.0,-1.45519152284e-11,-7.45058059692e-09
CF,91385.9157028,228539.101344,252096717.832,-91385.9157028,243960.898656,-333061153.717
BE,-91757.2230988,267393.292994,298020172.797,91757.2230988,310106.707006,-522265596.359
FH,-21899.9999847,225000.0,0.0,21899.9999847,225000.0,0.0
EG,-43400.0,275000.0,0.0,43400.0,275000.0,0.0
KB,7.62939453125e-06,275000.0,0.0,-7.62939453125e-06,275000.0,0.0
LC,-1.52587890625e-05,225000.0,0.0,1.52587890625e-05,225000.0,0.0
