MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,989141.474477153,3625.02045322928,63324511.6095748,-989141.474477153,-3625.02045322928,-39761878.6635845
BC,450829.917116819,-86071.5396595039,-236572716.205303,-450829.917116819,86071.5396595039,-236820751.921969
DE,1060858.52552286,69040.008304367,205797687.621668,-1060858.52552286,-69040.008304367,242962366.356718
EF,471670.082883187,117583.181531659,300475876.228689,-471670.082883187,-117583.181531659,346231622.195437
IG,500000,2744.48281668671,4.63915057480335e-08,-500000,-2744.48281668671,17839138.3084636
GH,225000,-3243.4796924479,-17839138.3084635,-225000,3243.4796924479,1.17361196316779e-08
JK,500000,2368.10151151344,3.05954017676413e-09,-500000,-2368.10151151344,15392659.8248374
KL,225000,-2798.66542269769,-15392659.8248374,-225000,2798.66542269769,1.38970790430903e-08
CF,90673.3639107025,225829.917116813,236820751.921969,-90673.3639107025,246670.082883187,-346231622.195437
BE,-90621.6418089376,263311.557360331,276334594.868887,90621.6418089376,314188.442639669,-543438242.585407
FH,-25712.5915799948,225000,0,25712.5915799948,225000,0
EG,-38911.1147704771,275000,0,38911.1147704771,275000,0
KB,-3738.87340003968,275000,0,3738.87340003968,275000,0
LC,3399.70106060186,225000,0,-3399.70106060186,225000,0
