NODEID,DX,DY,RZ
A,0,0,0
B,26.3921193864334,-2.61358519678911,-0.00754573802675165
C,41.0587626747791,-3.62153826351366,-0.00756110059929286
D,0,0,0
E,26.744536882357,-2.80308146987747,0.00272038752002046
F,40.7061440373486,-3.85762840315289,0.00555435827246552
G,26.8886521222476,-1.32113821138211,-0.00326618719005634
H,40.8013758580152,-1.82418699186992,-0.00216128560563571
I,0,0,-0.00457197997164436
J,0,0,-0.00443376730214285
K,26.378271707174,-1.32113821138211,-0.00330705233748691
L,41.0713541601887,-1.82418699186992,-0.00235367813662419
