MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
AB,995932.393605803,371.364644938214,49908013.79369,-995932.393605803,-371.364644938214,-47494143.6015917
BC,453539.101198402,-91385.9854373418,-250526060.657404,-453539.101198402,91385.9854373418,-252096859.247976
DE,1054067.6063942,64928.6338977877,189782098.187344,-1054067.6063942,-64928.6338977877,232254022.148276
EF,468960.898801598,113285.98336323,290011611.833007,-468960.898801598,-113285.98336323,333061296.664756
IG,500000,-1.81898940354586e-12,-1.49011611938477e-08,-500000,1.81898940354586e-12,0
GH,225000,4.36557456851006e-11,1.19209289550781e-07,-225000,-4.36557456851006e-11,8.94069671630859e-08
JK,500000,-1.81898940354586e-12,0,-500000,1.81898940354586e-12,0
KL,225000,2.91038304567337e-11,0,-225000,-2.91038304567337e-11,0
CF,91385.982421875,228539.101198402,252096859.247976,-91385.982421875,243960.898801598,-333061296.664756
BE,-91757.3486328125,267393.292407401,298020204.258995,91757.3486328125,310106.707592599,-522265633.981283
FH,-21900,225000,0,21900,225000,0
EG,-43400,275000,0,43400,275000,0
KB,0.001953125,275000,0,-0.001953125,275000,0
LC,0.0009765625,225000,0,-0.0009765625,225000,0
