NODEID,DX,DY,RZ
A,0,0,0
B,23.3628183543712,-3.236780279912e-06,-0.00712966242414636
C,34.3068297840534,-4.48401280885821e-06,-0.00722695285292607
D,0,0,0
E,23.3628188360973,-3.425719720088e-06,0.0031088683057567
F,34.306829304277,-4.71536219114179e-06,0.00577523394480095
G,23.3628190530973,-1.625e-06,-0.00198982006557813
H,34.306829413777,-2.24375e-06,-0.00198982006557813
I,0,0,-0.00359427985432266
J,0,0,-0.00359427974682634
K,23.3628183543712,-1.625e-06,-0.00198982025994222
L,34.3068297840534,-2.24375e-06,-0.00198982025994222
