MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,8191415.00484848,114985.838246262,8.94069671630859e-08,-8191415.00484848,-114985.838246262,747407948.600702
CB0B1,14822984.9951516,150393.851305734,8.19563865661621e-08,-14822984.9951516,-150393.851305734,977560033.487273
CC0C1,12992089.2675645,120336.218178661,-2.08616256713867e-07,-12992089.2675645,-120336.218178661,782185418.161296
CD0D1,15460977.5438783,154495.099476498,2.38418579101562e-07,-15460977.5438783,-154495.099476498,1004218146.59724
CE0E1,16090933.1885569,144093.356820474,0,-16090933.1885569,-144093.356820474,936606819.333083
CF0F1,11963883.9675216,121127.687706265,0,-11963883.9675216,-121127.687706265,787329970.090723
CG0G1,11050516.0324788,156567.948266244,0,-11050516.0324788,-156567.948266244,1017691663.73059
CA1A2,8045138.19096174,17954.0203401257,19894705.4636147,-8045138.19096174,-17954.0203401257,78852406.4070755
CB1B2,13902861.8090383,188577.930403533,511830766.637535,-13902861.8090383,-188577.930403533,525347850.581898
CC1C2,12541665.6308491,51577.3971864659,106267244.418832,-12541665.6308491,-51577.3971864659,177408440.106731
CD1D2,14680654.2003304,200375.167304389,551332136.738215,-14680654.2003304,-200375.167304389,550731283.435924
CE1E2,15257680.1688203,173323.621596172,447684064.962592,-15257680.1688203,-173323.621596172,505595853.816353
CF1F2,11499280.4660053,55735.6440102654,114542831.015247,-11499280.4660053,-55735.6440102654,192003211.041214
CG1G2,10448719.5339951,226456.219159199,606698769.242236,-10448719.5339951,-226456.219159199,638810436.133359
CA2A3,7787337.70584433,9760.12771610933,34753579.0026208,-7787337.70584433,-9760.12771610933,18927123.435982
CB2B3,13094262.2941557,160661.622566526,446741070.275627,-13094262.2941557,-160661.622566526,436897853.840262
CC2C3,12003676.6156361,56989.0116946129,160163146.043268,-12003676.6156361,-56989.0116946129,153276418.277104
CD2D3,13928078.6573388,171944.128605631,473165121.450909,-13928078.6573388,-171944.128605631,472527585.880064
CE2E3,14484244.7270248,177219.500382838,487400420.971832,-14484244.7270248,-177219.500382838,487306831.133775
CF2F3,10949561.9966379,71284.3444868776,194956543.708272,-10949561.9966379,-71284.3444868776,197107350.969555
CG2G3,9932038.00336253,222141.264547438,606785880.759316,-9932038.00336253,-222141.264547438,614991074.251594
CA3A4,7506824.54169029,-8055.4209029146,-15583042.3140892,-7506824.54169029,8055.4209029146,-28721772.6519402
CB3B4,12308375.4583097,145456.174873049,406969841.420502,-12308375.4583097,-145456.174873049,393039120.381269
CC3C4,11454026.3633247,48576.8309504713,135836726.261646,-11454026.3633247,-48576.8309504713,131335843.965948
CD3D4,13182429.3882778,166549.406196835,460397246.704781,-13182429.3882778,-166549.406196835,455624487.377814
CE3E4,13715544.2483973,174985.849717034,481157454.904565,-13715544.2483973,-174985.849717034,481264718.539121
CF3F4,10399537.9492323,72485.0084017265,197334557.484139,-10399537.9492323,-72485.0084017265,201332988.725356
CG3G4,9415662.05076809,226002.150763716,619914519.536361,-9415662.05076809,-226002.150763716,623097309.664078
CA4A5,7209058.46607588,-23868.0694403076,-59700553.071727,-7209058.46607588,23868.0694403076,-71573828.8499655
CB4B5,11539741.5339241,129293.17239212,361439411.391209,-11539741.5339241,-129293.17239212,349673036.765455
CC4C5,10896281.1895797,41770.1502882126,116874257.970728,-10896281.1895797,-41770.1502882126,112861568.61444
CD4D5,12444084.946316,159643.839486037,440993850.344545,-12444084.946316,-159643.839486037,437047266.828657
CE4E5,12947633.864104,172954.58292716,475558947.283997,-12947633.864104,-172954.58292716,475691258.815381
CF4F5,9851647.43141216,74521.1588912098,203085833.773761,-9851647.43141216,-74521.1588912098,206780540.127893
CG4G5,8897152.56858826,227685.165455858,624233430.725077,-8897152.56858826,-227685.165455858,628034979.282144
CA5A6,6895066.57457157,-38902.3276557706,-101873592.771481,-6895066.57457157,38902.3276557706,-112089209.335255
CB5B6,10787333.4254284,114306.925366075,319459524.060853,-10787333.4254284,-114306.925366075,309228565.452559
CC5C6,10330960.3720499,34923.3264151319,97574486.8038056,-10330960.3720499,-34923.3264151319,94503808.4794202
CD5D6,11712009.6777657,152645.651042869,421484024.667879,-11712009.6777657,-152645.651042869,418067056.067898
CE5E6,12181029.9501841,170342.044614016,468172358.170817,-12181029.9501841,-170342.044614016,468708887.206273
CF5F6,9305372.64510271,75736.8252982911,206281221.855,-9305372.64510271,-75736.8252982911,210271317.285597
CG5G6,8377027.3548977,228947.554919842,627618002.485668,-8377027.3548977,-228947.554919842,631593549.57346
CA6A7,6565805.47510558,-53056.8946567436,-141544579.464704,-6565805.47510558,53056.8946567436,-150268341.147386
CB6B7,10050194.5248943,100146.337339391,279763678.954875,-10050194.5248943,-100146.337339391,271041176.411775
