NODEID,DX,DY,RZ
A0,0,0,-0.0219656101351038
B0,0,0,-0.0237305269249564
C0,0,0,-0.0222471283375575
D0,0,0,-0.0239579199165891
E0,0,0,-0.0234527220149138
F0,0,0,-0.0223182939605292
G0,0,0,-0.0240907578939102
A1,105.81721280205,-9.64568795861442,-0.00490749333073856
B1,105.908172888272,-17.454601896458,-0.00141964132928952
C1,105.927338504541,-15.2986558404362,-0.00439528417313465
D1,106.067986136697,-18.2058612382626,-0.00103861530683586
E1,106.127573578345,-18.9476568343444,-0.00207651300633156
F1,106.135517442651,-14.08790684582,-0.00434903551401113
G1,106.265168828583,-13.0123830092525,-0.000863946748448605
A2,131.425402229144,-17.6616770981644,-0.00376891413415089
B2,131.358977471645,-31.3070910177776,-0.00115860213795126
C2,131.345037896488,-27.7948806537875,-0.00302141979012132
D2,131.321537164956,-32.8333246625048,-0.00105021886428867
E2,131.348267950559,-34.1500555532724,-0.000958132252488661
F2,131.368115558094,-25.5455232521705,-0.00285313632109689
G2,131.360110783638,-23.4232448637717,-0.000243812731944598
A3,153.945214196469,-25.4207998123251,-0.00407455144319736
B3,153.896638800798,-44.3539103326024,-0.00134869234298788
C3,153.877241267781,-39.7550656874877,-0.00315441488391992
D3,153.872706244913,-46.7109392667374,-0.001062530822293
E3,153.877702533721,-48.5818211327308,-0.000959939640512716
F3,153.886645201797,-36.4554129227377,-0.00281160036626142
G3,153.893807623223,-33.3192972221899,-8.53556946987662e-05
A4,176.268706360042,-32.9004257143754,-0.00432828394621002
B4,176.216415337011,-56.6176902276535,-0.00161771961024773
C4,176.195170904181,-51.1675919552975,-0.00324133501252325
D4,176.185952408918,-59.8456062296955,-0.00115470138513776
E4,176.188934561553,-62.2476713802237,-0.000957868186895613
F4,176.195505524771,-46.8172713866503,-0.00273438347080198
G4,176.198627725172,-42.7008445553787,-2.38902954621621e-05
A5,198.380945102859,-40.0833644034037,-0.00455757824670178
B5,198.327210069513,-68.1156211038426,-0.00184494945730315
C5,198.302511315523,-62.0243938652088,-0.00331882725781589
D5,198.289909423499,-72.2446039117133,-0.00123091700781064
E5,198.289671822011,-75.1483935274249,-0.000955313013360272
F5,198.294050012596,-56.6332244433142,-0.00266303204893401
G5,198.296391901178,-51.5657610639322,4.95244414203844e-05
A6,220.202478244921,-46.953448852708,-0.00475486016770092
B6,220.147111275577,-78.8638699878717,-0.00204252766076318
C6,220.119399535343,-72.3179232214214,-0.00337812757657976
D6,220.10355671914,-83.9141787718061,-0.00129690481434072
E6,220.10052241153,-87.2852893111193,-0.000944951673138389
F6,220.102836036295,-65.9048819701402,-0.00258597613296317
G6,220.104045249284,-59.9124368704395,0.000126299402737355
A7,241.651693088219,-53.4954651775439,-0.00492333168896025
B7,241.594855860937,-88.877650764485,-0.00221097486577355
C7,241.564330812537,-82.0408664876532,-0.00342141403467075
D7,241.545515943943,-94.8597985236449,-0.0013524300874794
E7,241.539881109261,-98.6602045539182,-0.000927393386208537
F7,241.540262997703,-74.6332331641448,-0.00250470696262557
G7,241.540464424384,-67.7398827778842,0.000207596468602012
A8,262.652399248491,-59.6950609043197,-0.0050648482006303
B8,262.59419347174,-98.1713159072745,-0.00235250901313615
C8,262.561063448153,-91.1861148882114,-0.00344980899057868
D8,262.539506280075,-105.086235640764,-0.00139812448822797
E8,262.531466172373,-109.27547555798,-0.000902695267899372
F8,262.530031906344,-82.8186777892159,-0.00241938286456818
G8,262.52927898977,-75.0476990223782,0.000292908935663558
A9,283.133520799968,-65.5386832776074,-0.00518135521778443
B9,283.074046395117,-106.758418171668,-0.00246902684829555
C9,283.038499753812,-99.7467340539732,-0.0034644898735823
D9,283.014409243231,-114.597655079445,-0.00143454223800275
E9,283.004135675985,-119.133871736146,-0.000871072659696205
F9,283.000987873013,-90.4610623403321,-0.00233041988417177
G9,282.999335439664,-81.8360391089432,0.000381866400064552
A10,303.029130461525,-71.0135208230503,-0.00527468645518031
B10,302.968478206884,-114.651769032022,-0.00256236872460443
C10,302.930688119299,-107.715940206014,-0.00346656335341659
D10,302.904252708166,-123.397689252027,-0.00146225619228694
E10,302.891898850129,-128.238544455002,-0.000832796735318452
F10,302.8871278489,-97.5597122542929,-0.00223826535968595
G10,302.884623202606,-88.1055776007794,0.000474015468926288
A11,322.278408907258,-76.1074499633238,-0.00534659813680496
B11,322.216662102162,-121.863492065662,-0.00263429005019807
C11,322.176787195405,-115.087080461432,-0.00345708704610237
D11,322.148176635277,-131.489503588356,-0.00148184558879499
E11,322.133878149414,-136.592981167601,-0.000788196610633619
F11,322.127562687974,-104.113460394102,-0.00214342402981955
G11,322.124247183615,-93.8574816348829,0.000568852153617092
A12,340.825616734427,-80.80898604201,-0.00539877104798089
B12,340.762851568872,-128.405071929004,-0.00268647179337827
C12,340.721036967124,-121.853616890764,-0.00343707401864427
D12,340.69040379963,-138.875853648409,-0.00149389637770168
E12,340.674280222895,-144.200964243434,-0.000737651237371285
F12,340.666488058317,-110.120672009015,-0.00204645158730924
