ID,TYPE,W1,W2,A,B,C
BA1B1,UDL,-49.6,,,,
BB1C1,UDL,-49.6,,,,
BC1D1,UDL,-49.6,,,,
BD1E1,UDL,-49.6,,,,
BE1F1,UDL,-49.6,,,,
BF1G1,UDL,-49.6,,,,
BA2B2,UDL,-49.6,,,,
BB2C2,UDL,-49.6,,,,
BC2D2,UDL,-49.6,,,,
BD2E2,UDL,-49.6,,,,
BE2F2,UDL,-49.6,,,,
BF2G2,UDL,-49.6,,,,
BA3B3,UDL,-49.6,,,,
BB3C3,UDL,-49.6,,,,
BC3D3,UDL,-49.6,,,,
BD3E3,UDL,-49.6,,,,
BE3F3,UDL,-49.6,,,,
BF3G3,UDL,-49.6,,,,
BA4B4,UDL,-49.6,,,,
BB4C4,UDL,-49.6,,,,
BC4D4,UDL,-49.6,,,,
BD4E4,UDL,-49.6,,,,
BE4F4,UDL,-49.6,,,,
BF4G4,UDL,-49.6,,,,
BA5B5,UDL,-49.6,,,,
BB5C5,UDL,-49.6,,,,
BC5D5,UDL,-49.6,,,,
BD5E5,UDL,-49.6,,,,
BE5F5,UDL,-49.6,,,,
BF5G5,UDL,-49.6,,,,
BA6B6,UDL,-49.6,,,,
BB6C6,UDL,-49.6,,,,
BC6D6,UDL,-49.6,,,,
BD6E6,UDL,-49.6,,,,
BE6F6,UDL,-49.6,,,,
BF6G6,UDL,-49.6,,,,
BA7B7,UDL,-49.6,,,,
BB7C7,UDL,-49.6,,,,
BC7D7,UDL,-49.6,,,,
BD7E7,UDL,-49.6,,,,
BE7F7,UDL,-49.6,,,,
BF7G7,UDL,-49.6,,,,
BA8B8,UDL,-49.6,,,,
BB8C8,UDL,-49.6,,,,
BC8D8,UDL,-49.6,,,,
BD8E8,UDL,-49.6,,,,
BE8F8,UDL,-49.6,,,,
BF8G8,UDL,-49.6,,,,
BA9B9,UDL,-49.6,,,,
BB9C9,UDL,-49.6,,,,
BC9D9,UDL,-49.6,,,,
BD9E9,UDL,-49.6,,,,
BE9F9,UDL,-49.6,,,,
BF9G9,UDL,-49.6,,,,
BA10B10,UDL,-49.6,,,,
BB10C10,UDL,-49.6,,,,
BC10D10,UDL,-49.6,,,,
BD10E10,UDL,-49.6,,,,
BE10F10,UDL,-49.6,,,,
BF10G10,UDL,-49.6,,,,
BA11B11,UDL,-49.6,,,,
BB11C11,UDL,-49.6,,,,
BC11D11,UDL,-49.6,,,,
BD11E11,UDL,-49.6,,,,
BE11F11,UDL,-49.6,,,,
BF11G11,UDL,-49.6,,,,
BA12B12,UDL,-49.6,,,,
BB12C12,UDL,-49.6,,,,
BC12D12,UDL,-49.6,,,,
BD12E12,UDL,-49.6,,,,
BE12F12,UDL,-49.6,,,,
BF12G12,UDL,-49.6,,,,
BA13B13,UDL,-49.6,,,,
BB13C13,UDL,-49.6,,,,
BC13D13,UDL,-49.6,,,,
BD13E13,UDL,-49.6,,,,
BE13F13,UDL,-49.6,,,,
BF13G13,UDL,-49.6,,,,
BA14B14,UDL,-40.0,,,,
BB14C14,UDL,-40.0,,,,
BC14D14,UDL,-40.0,,,,
BD14E14,UDL,-40.0,,,,
BE14F14,UDL,-40.0,,,,
BF14G14,UDL,-40.0,,,,
