ID,DX,DY,RZ
A0,0,0,0
B0,0,0,0
C0,0,0,0
D0,0,0,-0.0278705053251138
E0,0,0,-0.0260212353606433
F0,0,0,0
G0,0,0,0
A1,123.370763915032,-2.6434624321672,-0.00887887547879761
B1,123.490710968752,-17.0976969881226,-0.00651476132149989
C1,123.894307286796,-6.38217803226152,-0.00936110103865084
D1,124.709625559879,-13.3594634235202,-0.00181727806971648
E1,124.656633517458,-18.4670541963934,-0.00549136013292479
F1,123.991245980853,-5.86969071352978,-0.00845723427503034
G1,123.712633173813,-13.8714687067602,-0.00611317438330009
A2,204.771634724755,-5.18008711186854,-0.00813709456374598
B2,204.534866637895,-30.499115786682,-0.00621376751120562
C2,204.369509362593,-11.7655160798427,-0.00756155116290195
D2,204.174055456762,-23.9988875431649,-0.00346079518275002
E2,204.092544523992,-33.292118116125,-0.00622286959429798
F2,204.073507691505,-10.9070554482983,-0.00741997074178198
G2,204.051103949312,-24.7721474502527,-0.00554107388104748
A3,283.008782296041,-7.87885160700436,-0.00866208524931775
B3,282.782355172937,-42.9723802770534,-0.00670287213564236
C3,282.62178563772,-17.0729948829363,-0.00794965172047474
D3,282.497674366416,-34.1074899336425,-0.00368576473935964
E3,282.409605815516,-47.2412543138592,-0.00633643723135614
F3,282.343209402987,-15.8944972838556,-0.0077520300684787
G3,282.310396724381,-34.9567346002027,-0.00578468419657978
A4,360.844279848702,-10.7022468828958,-0.00912205148353823
B4,360.61639927038,-54.5549994939154,-0.00716709039618128
C4,360.454616513331,-22.2876793343729,-0.0081396203261593
D4,360.323277567135,-43.6812501779896,-0.00400196616126426
E4,360.234045536544,-60.3354183137286,-0.0064780269837751
F4,360.169891145849,-20.8136862247355,-0.00796317546196418
G4,360.135913849025,-44.4435601520765,-0.00600956596464293
A5,437.964745413841,-13.6173423949374,-0.00950534595370019
B5,437.734791816935,-65.2799039818737,-0.00754972865507289
C5,437.56883921034,-27.3917323108058,-0.00829840953790755
D5,437.434722783336,-52.7259907515031,-0.00426986020061882
E5,437.343893438327,-72.5866247637833,-0.00657912172285697
F5,437.279566605305,-25.6454190087685,-0.0081284483647985
G5,437.245835178935,-53.2518273680437,-0.00617292292067923
A6,514.069903143527,-16.5922071079381,-0.00981655749216816
B6,513.838092297279,-75.1790247761193,-0.00786106244808307
C6,513.668636056518,-32.3675211301024,-0.00840871004885967
D6,513.53159810435,-61.2460606174768,-0.00450047052844152
E6,513.439346380165,-84.0081573828617,-0.00664024546071911
F6,513.374897029384,-30.3707221758702,-0.00823961861153592
G6,513.341055733682,-61.4005097081884,-0.00628434681335514
A7,588.874387469082,-19.5960289710022,-0.0100606371337928
B7,588.640875610389,-84.2831739275478,-0.00810514523538691
C7,588.468174431942,-37.1970964572295,-0.00847522512991952
D7,588.328496126036,-69.2453324752875,-0.00469462175664448
E7,588.234914539118,-94.6140928066205,-0.0066635739130854
F7,588.170307090228,-34.9705924958218,-0.00830140424765477
G7,588.136388813886,-68.9086104027296,-0.00634609636696906
A8,662.111152785138,-22.5989939707689,-0.0102422774236349
B8,661.876083068027,-92.6221654495201,-0.00828680455002354
C8,661.700415301679,-41.8622490616438,-0.00850053592125299
D8,661.558313827316,-76.7271928118872,-0.00485436491605261
E8,661.463490840478,-104.419253778651,-0.00665104904158273
F8,661.398685293213,-39.4259853508843,-0.00831714203031149
G8,661.364662215028,-75.7951740694062,-0.00636183590322458
A9,733.531257568006,-25.5722048208132,-0.010366101208044
B9,733.294765373079,-100.224896628461,-0.00841064391263378
C9,733.116388076297,-46.3445250875901,-0.0084874059381836
D9,732.972066789556,-83.6946098420067,-0.00498165806215479
E9,732.876076473765,-113.439125939977,-0.00660473940941502
F9,732.811028672613,-43.7178034963911,-0.0082903507291225
G9,732.776878508517,-82.079297952885,-0.00633504107638646
A10,802.903772922502,-28.4876021075756,-0.0104366194208951
B10,802.66598513018,-107.119426877931,-0.00848117707974396
C10,802.485140088113,-50.625247379746,-0.00843854750364823
D10,802.338785612154,-90.1501864849335,-0.00507850328373085
E10,802.241690903734,-121.689783526635,-0.00652675938843137
F10,802.176352499056,-47.8268846397912,-0.00822452321128707
G10,802.142049747369,-87.7801443457169,-0.00626921042520158
A11,870.015661984542,-31.3178906359238,-0.0104582488292654
B11,869.776697957492,-113.333051393061,-0.00850282052050733
C11,869.593612508218,-54.6855378450135,-0.00835664974255634
D11,869.445396605104,-96.0962073812128,-0.00514692743678555
E11,869.347249847078,-129.187819991176,-0.00641927225208434
F11,869.281568273263,-51.7339877897034,-0.00812315651966403
G11,869.247085352431,-92.9169542392829,-0.00616784024321231
A12,934.671677400461,-34.0364701851332,-0.0104353196107995
B12,934.431649589763,-118.892370394576,-0.00847990454236963
C12,934.246537923901,-58.5063410357,-0.00824437943655492
D12,934.096618766663,-101.534680110678,-0.00518898067069207
E12,933.997462506345,-135.950283201461,-0.00628448279941054
F12,933.931380917009,-55.4197783638325,-0.00798975092668495
G12,933.896687980742,-97.5090622158785,-0.00603443089747012
A13,996.69427146796,-36.6173703356619,-0.0103720839491237
B13,996.453286030299,-123.823354302018,-0.00841668138534932
C13,996.266350349786,-62.0684487518315,-0.00810438413847946
D13,996.114873719273,-106.467371416721,-0.00520673310613585
E13,996.014741355164,-141.99461461407,-0.00612463201338435
F13,995.948198520567,-58.8648120424488,-0.00782781321704459
G13,995.913263421183,-101.575912595233,-0.00587248913866785
A14,1055.92351918614,-39.0351890066243,-0.0102727239118726
B14,1055.68167656704,-128.151405196273,-0.00831733324722646
C14,1055.49310817493,-65.3525255390844,-0.00793929452494961
D14,1055.34020854163,-110.895839084569,-0.00520227182581639
E14,1055.23912487992,-147.338591898101,-0.0059419920951688
F14,1055.17205504379,-62.0495173427313,-0.00764085947141379
G14,1055.13684327476,-105.137076860168,-0.00568553113959175
A15,1112.21705384722,-41.2650343716211,-0.0101413592642345
B15,1111.97444923847,-131.90141490374,-0.0081859794931943
C15,1111.78442958815,-68.3391349880454,-0.0077517264215527
D15,1111.63023110671,-114.821460049606,-0.00517769790471022
E15,1111.5282128505,-152.000274527582,-0.00573886196465023
F15,1111.4605455792,-64.9541768778599,-0.00743241862361367
G15,1111.4250200433,-108.212272397503,-0.00547708506530577
A16,1165.45001433314,-43.2824698385872,-0.00998205264136118
B16,1165.20673877061,-135.097820016483,-0.00802668627718725
C16,1165.01544021831,-71.0087667710753,-0.00754428212320648
D16,1164.8600575508,-118.245455240193,-0.00513512366474476
E16,1164.75711354929,-155.997951901792,-0.00551756328301109
F16,1164.68877330271,-67.5589072560773,-0.0072060317505932
G16,1164.65289524091,-110.821382598996,-0.00525069766338201
A17,1215.51501143356,-45.0634618208144,-0.00979883224524944
B17,1215.27114723165,-137.764654121213,-0.00784345567257763
C17,1215.07873444684,-73.341864368668,-0.00731955546298471
D17,1214.92227243056,-121.16891162366,-0.00507666853132455
E17,1214.81840347926,-159.350093572907,-0.0052804353733836
F17,1214.7493097432,-69.8436375410812,-0.00696528395358644
G17,1214.71303005654,-112.984478400949,-0.00500991087348907
A18,1262.32203805967,-46.5843299421114,-0.00959556161231316
B18,1262.07769790267,-139.925597594118,-0.00764034947157145
C18,1261.88432798836,-75.3188535858662,-0.00708008864859934
D18,1261.72689746805,-123.59280160571,-0.0050044689510125
E18,1261.62210613409,-162.075301330181,-0.00502985389119203
F18,1261.55217500871,-71.7880862863629,-0.0067136114580458
G18,1261.51550041506,-114.72184124987,-0.00475848880268495
A19,1305.79790115396,-47.8216985521081,-0.00937664197479774
B19,1305.55317018359,-141.604026085571,-0.00742039666020401
C19,1305.35940695813,-76.9201703258665,-0.0068286562756887
D19,1305.20147389728,-125.518003367456,-0.00492058941113297
E19,1305.09615511218,-164.192261089305,-0.00476822321680797
F19,1305.02568120599,-73.3717382641196,-0.00645603917114895
G19,1304.98840397963,-116.053986373562,-0.00449909249291389
A20,1345.89657891353,-48.7524314707722,-0.00914917748290034
B20,1345.65175005312,-142.823075775602,-0.00720020782902405
C20,1345.4542960712,-78.1262972075803,-0.00656893685047605
D20,1345.29297855642,-126.945308509333,-0.0048286094923683
E20,1345.18297242525,-165.719698630932,-0.00449639708979517
F20,1345.10710834226,-74.5738387407304,-0.00618093508203823
G20,1345.06947129753,-117.001668505647,-0.00423652820623425
A21,1382.95323433045,-49.354291315028,-0.00905026706954077
B21,1382.58942660562,-143.604984047288,-0.00698670489458765
C21,1382.25562344032,-78.9179194890286,-0.00635514367000539
D21,1381.94753132301,-127.875307421413,-0.00469902825304876
E21,1381.73143681058,-166.676338306969,-0.00416572905714927
F21,1381.60177981185,-75.372741612168,-0.00595371906094693
G21,1381.50685420829,-117.586533750152,-0.00389241786683581
A22,1426.44298470417,-49.6822042490445,-0.00981731181438422
B22,1426.05280335447,-144.06330299733,-0.00706603491895024
C22,1425.63084403461,-79.3748500974554,-0.00613012120000044
D22,1425.20603985603,-128.420138262978,-0.004489344467314
E22,1424.87893071816,-167.196315987412,-0.00347094708844413
F22,1424.69634251334,-75.8464883220692,-0.00579277848318578
G22,1424.52294106019,-117.899018924308,-0.00303727657808217
