ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,2244909.6347,588097.363747,2105832104.2,-2244909.6347,-588097.363747,1716800760.15
CB0B1,14519890.3653,636651.97425,2211842302.8,-14519890.3653,-636651.97425,1926395529.82
CC0C1,5419941.95971,581603.210063,2095290553.92,-5419941.95971,-581603.210063,1685130311.49
CD0D1,11345267.3997,175620.334257,-4.47034835815e-08,-11345267.3997,-175620.334257,1141532172.67
CE0E1,15682790.6406,138388.366032,1.19209289551e-07,-15682790.6406,-138388.366032,899524379.208
CF0F1,4984721.9598,600484.82426,2136854165.11,-4984721.9598,-600484.82426,1766297192.57
CG0G1,11780078.0402,646153.9274,2233925807.46,-11780078.0402,-646153.9274,1966074720.64
CA1A2,2545848.76945,355440.190027,958255140.337,-2545848.76945,-355440.190027,996665904.811
CB1B2,13450151.2306,472873.631957,1292609484.5,-13450151.2306,-472873.631957,1308195491.26
CC1C2,5402913.8223,348568.583511,911971622.417,-5402913.8223,-348568.583511,1005155586.89
CD1D2,10678112.9346,667083.972831,1877033077.45,-10678112.9346,-667083.972831,1791928773.12
CE1E2,14878973.2431,485004.21574,1352701038.25,-14878973.2431,-485004.21574,1314822148.32
CF1F2,5055682.42471,374061.048812,1001812188.39,-5055682.42471,-374061.048812,1055523580.08
CG1G2,10940317.5753,495968.357129,1349100780.01,-10940317.5753,-495968.357129,1378725184.2
CA2A3,2708578.18421,329069.463515,918533510.779,-2708578.18421,-329069.463515,891348538.552
CB2B3,12518621.8158,438836.57629,1219463948.16,-12518621.8158,-438836.57629,1194137221.43
CC2C3,5326778.72601,365603.27639,1015457286.33,-5326778.72601,-365603.27639,995360733.818
CD2D3,10145360.9446,602592.250079,1662953354.05,-10145360.9446,-602592.250079,1651304021.38
CE2E3,13999860.3294,449643.87498,1239461025.56,-13999860.3294,-449643.87498,1233580286.83
CF2F3,5005577.98769,375362.885512,1040845253.0,-5005577.98769,-375362.885512,1023650617.32
CG2G3,10221622.0123,483891.673242,1337009393.95,-10221622.0123,-483891.673242,1324394808.88
CA3A4,2833662.1678,297124.465112,829001223.012,-2833662.1678,-297124.465112,805183335.102
CB3B4,11624737.8322,407663.931625,1133094844.75,-11624737.8322,-407663.931625,1109056779.19
CC3C4,5233646.94035,344967.899015,953580182.192,-5233646.94035,-344967.899015,943743262.393
CD3D4,9608573.91796,582192.07033,1609214935.68,-9608573.91796,-582192.07033,1592841451.14
CE3E4,13141779.1417,437377.444661,1206453860.23,-13141779.1417,-437377.444661,1199122085.41
CF3F4,4937076.90066,355470.112298,983009555.007,-4937076.90066,-355470.112298,972076062.631
CG3G4,9521323.09934,466204.076965,1287883605.07,-9521323.09934,-466204.076965,1276238818.24
CA4A5,2925695.85936,265962.948283,741321950.061,-2925695.85936,-265962.948283,721474265.497
CB4B5,10763904.1406,376394.488943,1044991696.97,-10763904.1406,-376394.488943,1025177992.22
CC4C5,5122613.16907,327736.702073,905387127.747,-5122613.16907,-327736.702073,897164733.655
CD4D5,9077630.53924,558359.556097,1542424799.49,-9077630.53924,-558359.556097,1528552759.05
CE4E5,12295756.2917,423183.50048,1166372061.02,-12295756.2917,-423183.50048,1161137191.62
CF4F5,4849302.72143,337474.10812,932332863.031,-4849302.72143,-337474.10812,923774731.626
CG4G5,8840297.27857,447888.69601,1235923374.13,-8840297.27857,-447888.69601,1227464453.93
CA5A6,2985682.40287,235918.887187,656834489.414,-2985682.40287,-235918.887187,640719390.112
CB5B6,9935117.59713,346367.725373,960571959.706,-9935117.59713,-346367.725373,944450529.843
CC5C6,4993882.59682,309717.424424,854578697.669,-4993882.59682,-309717.424424,848867136.665
CD5D6,8551051.93821,533859.067688,1474083147.17,-8551051.93821,-533859.067688,1462141725.11
CE5E6,11463065.465,408183.078695,1124086015.55,-11463065.465,-408183.078695,1120920917.27
CF5F6,4742486.08771,319247.965701,880810204.429,-4742486.08771,-319247.965701,875053606.925
CG5G6,8178313.91229,429705.850938,1184575955.95,-8178313.91229,-429705.850938,1178806224.2
CA6A7,3014744.85166,206875.971926,575228366.609,-3014744.85166,-206875.971926,562589478.984
CB6B7,9137255.14834,317322.872903,878957425.741,-9137255.14834,-317322.872903,866318375.227
CC6C7,4847137.41923,291368.673081,802985986.889,-4847137.41923,-291368.673081,799541715.055
CD6D7,8028360.11911,508510.06265,1403429424.09,-8028360.11911,-508510.06265,1393375920.49
CE6E7,10644502.4617,392446.935349,1079833067.05,-10644502.4617,-392446.935349,1078625077.37
CF6F7,4616597.12112,301011.703033,829381869.628,-4616597.12112,-301011.703033,826182497.052
CG6G7,7535402.87888,411463.781064,1133124150.0,-7535402.87888,-411463.781064,1129926645.85
CA7A8,3013884.87249,178749.983374,496265286.509,-3013884.87249,-178749.983374,486859622.046
CB7B8,8369315.12751,289197.728457,799997078.057,-8369315.12751,-289197.728457,790590428.456
CC7C8,4682116.7957,272677.727222,750519069.258,-4682116.7957,-272677.727222,749208430.463
CD7D8,7509067.10146,482419.319703,1330789024.8,-7509067.10146,-482419.319703,1322517233.57
CE7E8,9840816.10284,376047.573224,1033806546.06,-9840816.10284,-376047.573224,1034455106.68
CF7F8,4471594.28363,282727.453066,777907961.431,-4471594.28363,-282727.453066,777093030.431
CG7G8,6911605.71637,393180.214959,1081653102.04,-6911605.71637,-393180.214959,1080838080.23
CA8A9,2984022.52586,151463.754693,419731235.75,-2984022.52586,-151463.754693,413319415.059
CB8B9,7630377.47414,261911.91289,723464074.128,-7630377.47414,-261911.91289,717051446.77
CC8C9,4498575.2115,253679.205959,697277869.189,-4498575.2115,-253679.205959,697957763.585
CD8D9,6992753.09205,455659.695764,1256359898.62,-6992753.09205,-455659.695764,1249768428.08
CE8E9,9052671.69646,359057.702427,986209683.197,-9052671.69646,-359057.702427,988607680.15
CF8F9,4307424.75694,264387.572602,726372173.511,-4307424.75694,-264387.572602,727759475.798
