ID,DIRN,F
A1,FX,-7900.46484749
B1,FX,170150.198159
C1,FX,28405.4621736
D1,FX,123700.800528
E1,FX,186574.126081
F1,FX,22764.7421891
G1,FX,146039.237004
A2,FX,-5134.54512602
B2,FX,41045.7602536
C2,FX,2658.74818361
D2,FX,18866.1152808
E2,FX,33392.5438664
F2,FX,1110.57750082
G2,FX,30732.6913466
A3,FX,-5210.7251217
B3,FX,23603.718451
C3,FX,-155.048056713
D3,FX,12967.6874745
E3,FX,23337.5974584
F3,FX,-911.399409011
G3,FX,19310.9314153
A4,FX,-4116.31180238
B4,FX,22852.1770295
C4,FX,567.187767244
D4,FX,12816.4467124
E4,FX,22873.4306747
F4,FX,-84.4200646823
G4,FX,18821.2577343
A5,FX,-2970.37346963
B5,FX,22353.2561189
C5,FX,1398.05159702
D5,FX,13154.9687336
E5,FX,22958.1396256
F5,FX,859.614524759
G5,FX,18522.2925442
A6,FX,-1856.39648852
B6,FX,21627.3861051
C6,FX,2198.64396772
D6,FX,13327.5430491
E6,FX,22736.5760071
F6,FX,1759.04412603
G6,FX,18010.2501504
A7,FX,-804.562459796
B7,FX,20678.8167136
C7,FX,2931.67794824
D7,FX,13322.5219886
E7,FX,22208.3269818
F7,FX,2580.66159502
G7,FX,17291.8005797
A8,FX,165.14409928
B8,FX,19560.6347445
C8,FX,3585.71693628
D8,FX,13161.309892
E8,FX,21428.133996
F8,FX,3312.09937965
G8,FX,16411.7090514
A9,FX,1038.21535332
B9,FX,18320.3248331
C9,FX,4151.87372701
D9,FX,12865.334616
E9,FX,20447.2316952
F9,FX,3944.81256682
G9,FX,15411.6641664
A10,FX,1804.62042188
B10,FX,16998.803997
C10,FX,4623.98999711
D10,FX,12454.4044117
E10,FX,19311.7530599
F10,FX,4473.37037807
G10,FX,14327.9598014
A11,FX,2458.19896872
B11,FX,15630.7803523
C11,FX,4998.30588164
D11,FX,11946.6609994
E11,FX,18062.5586107
F11,FX,4895.04093225
G11,FX,13191.8665793
A12,FX,2996.12695917
B12,FX,14245.4026561
C12,FX,5273.28772337
D12,FX,11358.7109336
E12,FX,16735.5168936
F12,FX,5209.47630756
G12,FX,12030.0469816
A13,FX,3418.42060768
B13,FX,12866.8740665
C13,FX,5449.42473707
D13,FX,10705.7455647
E13,FX,15361.8139749
F13,FX,5418.39782154
G13,FX,10864.9895724
A14,FX,3727.48102238
B14,FX,11515.0290447
C14,FX,5529.01518623
D14,FX,10001.6514424
E14,FX,13968.2926343
F14,FX,5525.29394469
G14,FX,9715.43269594
A15,FX,3927.68094169
B15,FX,10205.8684786
C15,FX,5515.94831649
D15,FX,9259.11182137
E15,FX,12577.8052988
F15,FX,5535.13560409
G15,FX,8596.77093792
A16,FX,4024.99058195
B16,FX,8952.05196634
C16,FX,5415.48773678
D16,FX,8489.69968587
E16,FX,11209.5698798
F16,FX,5454.11169447
G16,FX,7521.44456966
A17,FX,4026.6707063
B17,FX,7763.35448583
C17,FX,5234.06987927
D17,FX,7703.96992456
E17,FX,9879.51766281
F17,FX,5289.38581145
G17,FX,6499.26105498
A18,FX,3941.07179328
B18,FX,6647.23635343
C18,FX,4979.16040041
D18,FX,6911.4547662
E18,FX,8600.44776805
F18,FX,5048.60381343
G18,FX,5537.68522259
A19,FX,3775.35684734
B19,FX,5606.00750469
C19,FX,4657.36819513
D19,FX,6120.25212361
E19,FX,7383.72323572
F19,FX,4742.26429241
G19,FX,4644.0686301
A20,FX,3492.81931589
B20,FX,4616.46979411
C20,FX,4260.75256935
D20,FX,5343.58530146
E20,FX,6254.66020376
F20,FX,4400.23599179
G20,FX,3833.44290278
A21,FX,3170.29274774
B21,FX,3811.38351134
C21,FX,3799.2263464
D21,FX,4541.77856068
E21,FX,5043.05647671
F21,FX,3890.20435112
G21,FX,2996.2337939
A22,FX,2096.88411065
B22,FX,2874.94961545
C22,FX,2831.2329693
D22,FX,3429.99297864
E22,FX,3320.57779993
F22,FX,2997.60402037
G22,FX,1937.7078474
