ID,R
BB1C1,MZJ
BB1C1,MZK
BC1D1,MZJ
BC1D1,MZK
BE1F1,MZJ
BE1F1,MZK
BF1G1,MZJ
BF1G1,MZK
BB2C2,MZJ
BB2C2,MZK
BC2D2,MZJ
BC2D2,MZK
BE2F2,MZJ
BE2F2,MZK
BF2G2,MZJ
BF2G2,MZK
BB3C3,MZJ
BB3C3,MZK
BC3D3,MZJ
BC3D3,MZK
BE3F3,MZJ
BE3F3,MZK
BF3G3,MZJ
BF3G3,MZK
BB4C4,MZJ
BB4C4,MZK
BC4D4,MZJ
BC4D4,MZK
BE4F4,MZJ
BE4F4,MZK
BF4G4,MZJ
BF4G4,MZK
BB5C5,MZJ
BB5C5,MZK
BC5D5,MZJ
BC5D5,MZK
BE5F5,MZJ
BE5F5,MZK
BF5G5,MZJ
BF5G5,MZK
BB6C6,MZJ
BB6C6,MZK
BC6D6,MZJ
BC6D6,MZK
BE6F6,MZJ
BE6F6,MZK
BF6G6,MZJ
BF6G6,MZK
BB7C7,MZJ
BB7C7,MZK
BC7D7,MZJ
BC7D7,MZK
BE7F7,MZJ
BE7F7,MZK
BF7G7,MZJ
BF7G7,MZK
BB8C8,MZJ
BB8C8,MZK
BC8D8,MZJ
BC8D8,MZK
BE8F8,MZJ
BE8F8,MZK
BF8G8,MZJ
BF8G8,MZK
BB9C9,MZJ
BB9C9,MZK
BC9D9,MZJ
BC9D9,MZK
BE9F9,MZJ
BE9F9,MZK
BF9G9,MZJ
BF9G9,MZK
BB10C10,MZJ
BB10C10,MZK
BC10D10,MZJ
BC10D10,MZK
BE10F10,MZJ
BE10F10,MZK
BF10G10,MZJ
BF10G10,MZK
BB11C11,MZJ
BB11C11,MZK
BC11D11,MZJ
BC11D11,MZK
BE11F11,MZJ
BE11F11,MZK
BF11G11,MZJ
BF11G11,MZK
BB12C12,MZJ
BB12C12,MZK
BC12D12,MZJ
BC12D12,MZK
BE12F12,MZJ
BE12F12,MZK
BF12G12,MZJ
BF12G12,MZK
BB13C13,MZJ
BB13C13,MZK
BC13D13,MZJ
BC13D13,MZK
BE13F13,MZJ
BE13F13,MZK
BF13G13,MZJ
BF13G13,MZK
BB14C14,MZJ
BB14C14,MZK
BC14D14,MZJ
BC14D14,MZK
BE14F14,MZJ
BE14F14,MZK
BF14G14,MZJ
BF14G14,MZK
BB15C15,MZJ
BB15C15,MZK
BC15D15,MZJ
BC15D15,MZK
BE15F15,MZJ
BE15F15,MZK
BF15G15,MZJ
BF15G15,MZK
BB16C16,MZJ
BB16C16,MZK
BC16D16,MZJ
BC16D16,MZK
BE16F16,MZJ
BE16F16,MZK
BF16G16,MZJ
BF16G16,MZK
BB17C17,MZJ
BB17C17,MZK
BC17D17,MZJ
BC17D17,MZK
BE17F17,MZJ
BE17F17,MZK
BF17G17,MZJ
BF17G17,MZK
BB18C18,MZJ
BB18C18,MZK
BC18D18,MZJ
BC18D18,MZK
BE18F18,MZJ
BE18F18,MZK
BF18G18,MZJ
BF18G18,MZK
BB19C19,MZJ
BB19C19,MZK
BC19D19,MZJ
BC19D19,MZK
BE19F19,MZJ
BE19F19,MZK
BF19G19,MZJ
BF19G19,MZK
BB20C20,MZJ
BB20C20,MZK
BC20D20,MZJ
BC20D20,MZK
BE20F20,MZJ
BE20F20,MZK
BF20G20,MZJ
BF20G20,MZK
BB21C21,MZJ
BB21C21,MZK
BC21D21,MZJ
BC21D21,MZK
BE21F21,MZJ
BE21F21,MZK
BF21G21,MZJ
BF21G21,MZK
BB22C22,MZJ
BB22C22,MZK
BC22D22,MZJ
BC22D22,MZK
BE22F22,MZJ
BE22F22,MZK
BF22G22,MZJ
BF22G22,MZK
