ID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA0A1,-1552483.64119,814612.943153,2922824099.58,1552483.64119,-814612.943153,2372160030.92
CB0B1,12166883.6412,861413.901977,3023585909.64,-12166883.6412,-861413.901977,2575604453.21
CC0C1,6848000.0,408594.371127,2041539928.94,-6848000.0,-408594.371127,614323483.392
CD0D1,1148015.32815,169339.945804,-1.78813934326e-07,-1148015.32815,-169339.945804,1100709647.72
CE0E1,12547984.6718,190949.970699,-5.96046447754e-08,-12547984.6718,-190949.970699,1241174809.54
CF0F1,7019200.0,398578.602206,2010958434.57,-7019200.0,-398578.602206,579802479.775
CG0G1,3595200.0,392231.045862,1991132492.5,-3595200.0,-392231.045862,558369305.598
CA1A2,-937378.136392,715486.945478,1950669529.8,937378.136392,-715486.945478,1984508670.33
CB1B2,10782978.1364,836312.181631,2294373786.4,-10782978.1364,-836312.181631,2305343212.57
CC1C2,6352000.0,-120524.557822,-614323483.392,-6352000.0,120524.557822,-48561584.6303
CD1D2,1368765.72141,801233.049921,2248542098.11,-1368765.72141,-801233.049921,2158239676.46
CE1E2,11335234.2786,915610.869088,2577077377.21,-11335234.2786,-915610.869088,2458782402.78
CF1F2,6510800.0,-108829.7182,-579802479.775,-6510800.0,108829.7182,-18760970.3274
CG1G2,3334800.0,-101926.661326,-558369305.598,-3334800.0,101926.661326,-2227331.69725
CA2A3,-459480.276465,577860.845286,1583657828.8,459480.276465,-577860.845286,1594576820.27
CB2B3,9536280.27646,685805.41097,1878617817.53,-9536280.27646,-685805.41097,1893311942.81
CC2C3,5856000.0,17578.1609154,48561584.6303,-5856000.0,-17578.1609154,48118300.4042
CD2D3,1689508.05741,602602.919642,1646859923.26,-1689508.05741,-602602.919642,1667456134.77
CE2E3,10022491.9426,697111.187285,1903541357.57,-10022491.9426,-697111.187285,1930570172.5
CF2F3,6002400.0,9801.17618406,18760970.3274,-6002400.0,-9801.17618406,35145498.6849
CG2G3,3074400.0,5659.90575274,2227331.69725,-3074400.0,-5659.90575274,28902149.9428
CA3A4,-87793.0358685,516659.962996,1421649657.88,87793.0358685,-516659.962996,1419980138.59
CB3B4,8395793.03587,627626.072746,1727377605.3,-8395793.03587,-627626.072746,1724565794.81
CC3C4,5360000.0,-4061.50820528,-48118300.4042,-5360000.0,4061.50820528,25780005.2751
CD3D4,1883919.72494,551244.732041,1516126893.65,-1883919.72494,-551244.732041,1515719132.58
CE3E4,8836080.27506,650495.870284,1789963474.32,-8836080.27506,-650495.870284,1787763812.24
CF3F4,5494000.0,-1065.46150804,-35145498.6849,-5494000.0,1065.46150804,29285460.3907
CG3G4,2814000.0,386.274983761,-28902149.9428,-2814000.0,-386.274983761,31026662.3535
CA4A5,216237.309509,451394.568868,1239333286.1,-216237.309509,-451394.568868,1243336842.68
CB4B5,7322962.69049,561725.213839,1542639406.96,-7322962.69049,-561725.213839,1546849269.16
CC4C5,4864000.0,1309.80097392,-25780005.2751,-4864000.0,-1309.80097392,32983910.6317
CD4D5,2012967.82015,487778.347147,1338222280.15,-2012967.82015,-487778.347147,1344558629.16
CE4E5,7715032.17985,586209.260062,1608775727.11,-7715032.17985,-586209.260062,1615375203.23
CF4F5,4985600.0,516.19624917,-29285460.3907,-4985600.0,-516.19624917,32124539.7611
CG4G5,2553600.0,117.680558562,-31026662.3535,-2553600.0,-117.680558562,31673905.4256
CA5A6,453327.975843,388846.331548,1064852891.03,-453327.975843,-388846.331548,1073801932.48
CB5B6,6317072.02416,499297.21742,1368612993.64,-6317072.02416,-499297.21742,1377521702.17
CC5C6,4368000.0,86.7526510888,-32983910.6317,-4368000.0,-86.7526510888,33461050.2126
CD5D6,2074152.70514,427626.841304,1170481379.41,-2074152.70514,-427626.841304,1181466247.76
CE5E6,6661847.29486,526149.808409,1441433638.12,-6661847.29486,-526149.808409,1452390308.13
CF5F6,4477200.0,279.742118448,-32124539.7611,-4477200.0,-279.742118448,33663121.4126
CG5G6,2293200.0,382.168264755,-31673905.4256,-2293200.0,-382.168264755,33775830.8818
CA6A7,625683.879752,327695.305493,894469766.728,-625683.879752,-327695.305493,907854413.481
CB6B7,5375916.12025,438123.391996,1198143589.67,-5375916.12025,-438123.391996,1211535066.31
CC6C7,3872000.0,260.734079175,-33461050.2126,-3872000.0,-260.734079175,34895087.6481
CD6D7,2069831.80033,368586.119288,1006000375.68,-2069831.80033,-368586.119288,1021223280.41
CE6E7,5674168.19967,467107.328595,1276934020.36,-5674168.19967,-467107.328595,1292156286.91
CF6F7,3968800.0,216.01004575,-33663121.4126,-3968800.0,-216.01004575,34851176.6642
CG6G7,2032800.0,190.652302526,-33775830.8818,-2032800.0,-190.652302526,34824418.5456
CA7A8,735041.344645,268439.996221,729685731.202,-735041.344645,-268439.996221,746734248.016
CB7B8,4497758.65535,378873.032997,1033378170.39,-4497758.65535,-378873.032997,1050423511.1
CC7C8,3376000.0,119.908432031,-34895087.6481,-3376000.0,-119.908432031,35554584.0243
CD7D8,2001559.02861,311202.777831,846483002.763,-2001559.02861,-311202.777831,865132275.306
CE7E8,4750440.97139,409721.495806,1117409712.69,-4750440.97139,-409721.495806,1136058514.25
CF7F8,3460400.0,129.775876175,-34851176.6642,-3460400.0,-129.775876175,35564943.9832
CG7G8,1772400.0,135.717228102,-34824418.5456,-1772400.0,-135.717228102,35570863.3002
CA8A9,783447.496499,211206.644373,570806736.506,-783447.496499,-211206.644373,590829807.543
CB8B9,3680552.5035,321640.598163,874500098.851,-3680552.5035,-321640.598163,894523191.048
CC8C9,2880000.0,60.454335879,-35554584.0243,-2880000.0,-60.454335879,35887082.8716
CD8D9,1871201.19184,255575.15191,692147940.47,-1871201.19184,-255575.15191,713515395.033
CE8E9,3888798.80816,354096.946704,963082902.325,-3888798.80816,-354096.946704,984450304.547
CF8F9,2952000.0,58.1923589821,-35564943.9832,-2952000.0,-58.1923589821,35885001.9576
CG8G9,1512000.0,57.6873333931,-35570863.3002,-1512000.0,-57.6873333931,35888143.6339
CA9A10,773093.053243,156143.944116,418218084.409,-773093.053243,-156143.944116,440573608.228
CB9B10,2922106.94676,266573.637662,721907262.814,-2922106.94676,-266573.637662,744247744.328
CC9C10,2384000.0,-0.724525425467,-35887082.8716,-2384000.0,0.724525425467,35883097.9818
CD9D10,1680752.5729,201825.234101,543310827.371,-1680752.5729,-201825.234101,566727960.184
CE9E10,3087247.4271,300340.794873,814237283.615,-3087247.4271,-300340.794873,837637088.188
CF9F10,2443600.0,-0.350416809786,-35885001.9576,-2443600.0,0.350416809786,35883074.6651
CG9G10,1251600.0,-3.71216150827,-35888143.6339,-1251600.0,3.71216150827,35867726.7456
CA10A11,706295.253011,103326.529122,272124084.064,-706295.253011,-103326.529122,296171826.109
CB10B11,2220104.74699,213797.606219,575877660.935,-2220104.74699,-213797.606219,600009173.27
CC10C11,1888000.0,-86.0860383377,-35883097.9818,-1888000.0,86.0860383377,35409624.7709
CD10D11,1432315.77902,150012.351295,400130080.96,-1432315.77902,-150012.351295,424937851.162
CE10E11,2343684.22098,248577.709169,671136931.878,-2343684.22098,-248577.709169,696040468.551
CF10F11,1935200.0,-95.2174146523,-35883074.6651,-1935200.0,95.2174146523,35359378.8845
CG10G11,991200.0,-84.1493959956,-35867726.7456,-991200.0,84.1493959956,35404905.0676
CA11A12,585420.390942,52816.7741189,132747014.21,-585420.390942,-52816.7741189,157745243.444
CB11B12,1572179.60906,163018.956561,436085934.685,-1572179.60906,-163018.956561,460518326.398
CC11C12,1392000.0,-45.797711563,-35409624.7709,-1392000.0,45.797711563,35157737.3573
CD11D12,1127984.8792,100151.611795,262600573.158,-1127984.8792,-100151.611795,288233291.715
CE11E12,1656015.1208,198410.866287,533112108.905,-1656015.1208,-198410.866287,558147655.674
CF11F12,1426800.0,79.4107062057,-35359378.8845,-1426800.0,-79.4107062057,35796137.7686
CG11G12,730800.0,64.1484711049,-35404905.0676,-730800.0,-64.1484711049,35757721.6587
CA12A13,413837.299472,5202.82633158,4106182.12004,-413837.299472,-5202.82633158,24509362.7037
CB12B13,974962.700528,117553.437686,310207787.612,-974962.700528,-117553.437686,336336119.66
CC12C13,896000.0,-1728.34001651,-35157737.3573,-896000.0,1728.34001651,25651867.2665
CD12D13,770595.111326,52350.982172,133069743.556,-770595.111326,-52350.982172,154860658.39
CE12E13,1021404.88867,152805.676991,406651630.33,-1021404.88867,-152805.676991,433779593.12
CF12F13,918400.0,-1991.15413202,-35796137.7686,-918400.0,1991.15413202,24844790.0426
CG12G13,470400.0,-1990.15726972,-35757721.6587,-470400.0,1990.15726972,24811856.6752
CA13A14,197619.521374,-25339.9449566,-88397719.9246,-197619.521374,25339.9449566,-88981894.7715
CB13B14,422380.478626,58634.6411245,191465567.526,-422380.478626,-58634.6411245,218976920.346
CC13C14,400000.0,-3664.55246664,-25651867.2665,-400000.0,3664.55246664,-1.66893005371e-06
CD13D14,364505.238789,10440.3525231,31352201.6023,-364505.238789,-10440.3525231,41730266.0593
CE13E14,435494.761211,84618.0239385,279108821.521,-435494.761211,-84618.0239385,313217346.048
CF13F14,410000.0,-3549.25572037,-24844790.0426,-410000.0,3549.25572037,-1.66893005371e-06
CG13G14,210000.0,-3544.55095361,-24811856.6752,-210000.0,3544.55095361,-7.15255737305e-07
BA1B1,51200.6230999,-615105.504794,-4322829560.72,-51200.6230999,1135905.50479,-4869978239.62
BB1C1,78675.8509864,248000.0,0.0,-78675.8509864,248000.0,0.0
BC1D1,-428387.796694,248000.0,0.0,428387.796694,248000.0,0.0
BD1E1,199971.494333,-468750.393258,-3349251745.83,-199971.494333,964750.393258,-3818252186.75
BE1F1,974089.419496,248000.0,0.0,-974089.419496,248000.0,0.0
BF1G1,485635.277642,260400.0,0.0,-485635.277642,260400.0,0.0
BA2B2,3155.44338927,-477897.859927,-3568166499.13,-3155.44338927,998697.859927,-4183961030.1
